workId,userId,similarity
94.0,89304.0,0.5
192.0,131624.0,0.5
206.0,118878.0,0.5
206.0,147596.0,0.5
348.0,7575.0,1.0
570.0,43881.0,1.0
745.0,7575.0,0.5
775.0,25936.0,0.5
843.0,39178.0,0.3333333333333333
843.0,3965.0,0.3333333333333333
1189.0,5099.0,1.0
1200.0,28988.0,0.5
1380.0,14221.0,0.5
1849.0,7575.0,0.5
2715.0,133110.0,0.5
2829.0,1204.0,1.0
3678.0,7575.0,0.3333333333333333
3678.0,295412.0,0.3333333333333333
3678.0,260715.0,0.3333333333333333
3851.0,10097.0,1.0
4614.0,2654.0,0.3333333333333333
5225.0,45814.0,1.0
5225.0,5099.0,1.0
5427.0,301401.0,0.3333333333333333
5490.0,7422.0,0.5
5490.0,51654.0,1.0
5490.0,9113.0,0.5
5490.0,52871.0,0.5
6394.0,23901.0,0.5
6394.0,24932.0,0.75
6417.0,2722.0,0.3333333333333333
7038.0,14510.0,0.3333333333333333
7126.0,177980.0,1.0
7455.0,39194.0,0.3333333333333333
7720.0,1204.0,1.0
7720.0,209774.0,0.6666666666666666
7720.0,16375.0,0.3333333333333333
7720.0,5099.0,0.6666666666666666
8236.0,63202.0,0.3333333333333333
8236.0,6509.0,0.3333333333333333
8283.0,56655.0,0.5
8283.0,2654.0,0.5
8565.0,177980.0,0.3333333333333333
8677.0,4909.0,0.5
8805.0,45814.0,1.0
8805.0,5099.0,1.0
9175.0,119891.0,0.5
9354.0,209774.0,1.0
9354.0,102438.0,1.0
9584.0,2314.0,1.0
9936.0,45814.0,0.5
10277.0,119087.0,0.5
10424.0,108346.0,0.5
10723.0,220245.0,0.2
10791.0,14167.0,0.5
11157.0,5099.0,1.0
11222.0,18930.0,0.25
11915.0,68823.0,0.5
12070.0,22685.0,0.5
12435.0,3631.0,0.3333333333333333
12626.0,45814.0,0.3333333333333333
12626.0,1748.0,0.6666666666666666
12683.0,14221.0,0.5
12808.0,45814.0,0.5
12808.0,1748.0,1.0
13265.0,68823.0,1.0
13381.0,46461.0,0.5
13381.0,54328.0,1.0
13570.0,9113.0,1.0
13570.0,36934.0,1.0
13623.0,123788.0,1.0
13623.0,21360.0,0.6666666666666666
13623.0,16375.0,0.3333333333333333
14610.0,3631.0,0.3333333333333333
14610.0,154899.0,0.3333333333333333
15004.0,4217.0,1.0
15094.0,934.0,0.5
15379.0,63202.0,0.5
15730.0,14167.0,1.0
15842.0,199617.0,0.5
15842.0,161848.0,0.5
16308.0,7575.0,1.0
16634.0,43881.0,1.0
17005.0,172761.0,0.5
17315.0,4217.0,1.0
18074.0,45814.0,1.0
18176.0,5834.0,0.3333333333333333
18666.0,3249.0,0.6666666666666666
18666.0,12061.0,1.0
18666.0,14664.0,0.3333333333333333
19031.0,13866.0,0.5
19031.0,4217.0,0.5
19541.0,60357.0,0.5
19573.0,20673.0,0.5
19592.0,168543.0,1.0
19896.0,5099.0,0.3333333333333333
20116.0,1352.0,0.6666666666666666
20206.0,22235.0,0.5
20206.0,61750.0,0.5
20206.0,7422.0,0.5
20542.0,7575.0,0.5
20909.0,33157.0,0.3333333333333333
21534.0,620.0,1.0
21562.0,37542.0,0.5
21891.0,118878.0,0.3333333333333333
